STATE,Crime,value
Sikkim,CAUSING DEATH BY NEGLIGENCE,422
Sikkim,CRUELTY BY HUSBAND OR HIS RELATIVES,44
Sikkim,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,38
Sikkim,CUSTODIAL RAPE,0
Sikkim,DOWRY DEATHS,2
Sikkim,HURT/GREVIOUS HURT,939
Sikkim,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Sikkim,INSULT TO MODESTY OF WOMEN,14
Sikkim,KIDNAPPING & ABDUCTION,76
Sikkim,MURDER,166
Sikkim,OTHER IPC CRIMES,2037
Sikkim,OTHER RAPE,195
Sikkim,RAPE,195
Sikkim,TOTAL IPC CRIMES,7000
Tamil Nadu,ARSON,8149
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19329
Tamil Nadu,ATTEMPT TO MURDER,26597
Tamil Nadu,CAUSING DEATH BY NEGLIGENCE,140193
Tamil Nadu,CRUELTY BY HUSBAND OR HIS RELATIVES,18188
Tamil Nadu,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,343
Tamil Nadu,CUSTODIAL RAPE,2
Tamil Nadu,DOWRY DEATHS,2317
Tamil Nadu,HURT/GREVIOUS HURT,280673
Tamil Nadu,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,15
Tamil Nadu,INSULT TO MODESTY OF WOMEN,10043
Tamil Nadu,KIDNAPPING & ABDUCTION,15303
Tamil Nadu,MURDER,20127
Tamil Nadu,OTHER IPC CRIMES,1186115
Tamil Nadu,OTHER RAPE,6950
Tamil Nadu,RAPE,6952
Tamil Nadu,TOTAL IPC CRIMES,2060176
Tripura,ARSON,548
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2773
Tripura,ATTEMPT TO MURDER,681
Tripura,CAUSING DEATH BY NEGLIGENCE,1542
Tripura,CRUELTY BY HUSBAND OR HIS RELATIVES,6514
Tripura,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,19
Tripura,CUSTODIAL RAPE,0
Tripura,DOWRY DEATHS,314
Tripura,HURT/GREVIOUS HURT,9306
Tripura,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Tripura,INSULT TO MODESTY OF WOMEN,39
Tripura,KIDNAPPING & ABDUCTION,1443
Tripura,MURDER,2022
Tripura,OTHER IPC CRIMES,14044
Tripura,OTHER RAPE,2058
Tripura,RAPE,2058
Tripura,TOTAL IPC CRIMES,52734
Uttar Pradesh,ARSON,4554
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29698
Uttar Pradesh,ATTEMPT TO MURDER,60520
